condition,condition_tier,target,representation,selector,reports,true_bugs,predicted_clusters,matrix_sha256,partition_sha256,evaluation_index,epsilon,relative_validity_hdbscan,persistence,single_cluster_correction,purity,inverse_purity,f_measure,adjusted_rand_index,pairwise_average_precision,pairwise_same_bug_pairs,pairwise_different_bug_pairs,num_overcount,num_undercount,num_completely_lost
L_f3_W0,primary_full_coverage,freetype__char2svg,BL,S0,51,6,6,66c131896a128ffba87eaef4face32f755af5b5eec25a0c1660b24e368af21ae,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,3,0.23777671215536345,0.7834811140184456,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,freetype__char2svg,BL,Smax,51,6,6,66c131896a128ffba87eaef4face32f755af5b5eec25a0c1660b24e368af21ae,16aa8f52a0435862d1c98b0513280329333f4cea6186a74cdc88d6fa8ab644fc,179,0.1319019113670637,0.7834811140184456,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,freetype__char2svg,BD4,S0,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,3,0.18161454620300063,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,freetype__char2svg,BD4,Smax,51,6,6,e2a7974a2fdfcdd920904f860b52148edaaa6529b8236988d19e490f887ea158,77fa88606dd22ca52f2063a2ff13fc15e39cc7e095d018b598b015a28f352eaa,185,0.03251174274709012,0.834757250186428,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,freetype__char2svg,BLD4,S0,51,6,6,15c2948139572719a4290d490fc44eff7127ac0048ccf23d4f057fd5e230c572,06280bcec3c516aca075a358f24d1f2111a07a16f4d1da5ad45de1f956d15cc5,3,0.21220228159539967,0.8254532361027218,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,freetype__char2svg,BLD4,Smax,51,6,6,15c2948139572719a4290d490fc44eff7127ac0048ccf23d4f057fd5e230c572,06280bcec3c516aca075a358f24d1f2111a07a16f4d1da5ad45de1f956d15cc5,197,0.09020051259645238,0.8254532361027218,1.0,False,1.0,1.0,1.0,1.0,1.0,225,1050,0,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,B,S0,40,4,4,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,3c303e8588976c1374218400bece6f78ca37f2f8dc04111ea5caa9ae59554a23,35,0.23790493335474527,0.6531442294116495,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,B,Smax,40,4,5,ae9c43363c0ce3d15f18a1a7a4f0b2fe4ccf86b44058e9e6d7f4898e7963f325,adc8c63a897abd413087fe3344c85889066b2224e4bbef68a4c8f1d915ba85cf,183,0.05136601579533602,0.7991556190859307,1.0,False,1.0,0.925,0.95588,0.9209383145091226,1.0,180,600,1,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BL,S0,40,4,4,d2350caba97453d3298e76d52067dab9ac5d92e695e4d2f210fe774154665087,b4a683419e4cc088a93ac245027367d45d173db430c1e7b88b3fb5f58f0b132f,3,0.2280022503077187,0.8655205761848102,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BL,Smax,40,4,4,d2350caba97453d3298e76d52067dab9ac5d92e695e4d2f210fe774154665087,b4a683419e4cc088a93ac245027367d45d173db430c1e7b88b3fb5f58f0b132f,191,0.1451273303472745,0.8655205761848102,1.0,False,1.0,1.0,1.0,1.0,1.0,180,600,0,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BD4,S0,40,4,5,261f209d09e5ee8c4a35f09340b9b91d8e2ccca1c87c8b685b9ac262ef5b0f42,f681ff39812449fa2b3c2e9b19fa370e4cac6de89701b3bcece0147a78a97db9,3,0.18525274790307583,0.8597380694234198,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9300858902082415,180,600,1,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BD4,Smax,40,4,5,261f209d09e5ee8c4a35f09340b9b91d8e2ccca1c87c8b685b9ac262ef5b0f42,f681ff39812449fa2b3c2e9b19fa370e4cac6de89701b3bcece0147a78a97db9,195,0.027113392695409064,0.8597380694234198,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9300858902082415,180,600,1,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BLD4,S0,40,4,4,a0a81059ab1358d0fc80ad83ff525de8d7d49f95e189d4575892a6921dda8bbd,6d74a54b3d95a319495e78136819acf6e91558d95c297dea93ca913950a32dd3,11,0.2742180873328121,0.7954896396602794,1.0,False,1.0,1.0,1.0,1.0,0.9999999999999999,180,600,0,0,0
L_f3_W0,primary_full_coverage,poppler__pdfimages,BLD4,Smax,40,4,5,a0a81059ab1358d0fc80ad83ff525de8d7d49f95e189d4575892a6921dda8bbd,03f4d73e83135c326e7409d469a8363b9a890f2f21e43839736c1530a97f5afa,167,0.019413060558475397,0.8576309665057118,1.0,False,1.0,0.9,0.9375,0.9090909090909091,0.9999999999999999,180,600,1,0,0
L_f3_W0,primary_full_coverage,soxmp3__sox,B,S0,61,7,7,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,cb2132ea9abb4b5413888e10af457fa4d27f31c07f2743ea80ade39965bfd51a,75,0.2000752821866999,0.7405588406916171,1.0,False,0.93443,0.88525,0.898,0.8411400066023549,0.9162334931413182,270,1560,2,3,3
L_f3_W0,primary_full_coverage,soxmp3__sox,B,Smax,61,7,9,620599d63526f00cc6a30b183740d3d751701bb0f01816490592dfbafe6aa725,fb2159528677920fde41e442a4f968117d16f21373bf6c29d549a0bf8dc6d392,155,0.060755610605931105,0.8209978909808091,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9162334931413182,270,1560,2,3,3
L_f3_W0,primary_full_coverage,soxmp3__sox,BL,S0,61,7,8,97ba7ff38016a0005829e1fbc294a4482c8702bd9360101e73e31078b312fc58,3a5de342780960fb9e9def3a3da093b3c8818cf4a1ac515eef1ca27da3e42648,3,0.27414807889145887,0.7580353617940556,1.0,False,0.93443,0.86885,0.88239,0.8340476279208437,0.8652787032690327,270,1560,2,3,3
L_f3_W0,primary_full_coverage,soxmp3__sox,BL,Smax,61,7,10,97ba7ff38016a0005829e1fbc294a4482c8702bd9360101e73e31078b312fc58,536eccaa92199804d19ac21b0d7a9735d42d8ee04529251967428cbe99093110,187,0.026827037020767157,0.8793357486210054,1.0,False,0.93443,0.81967,0.84928,0.804419206551551,0.8652787032690327,270,1560,2,3,2
L_f3_W0,primary_full_coverage,soxmp3__sox,BD4,S0,61,7,7,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,2bfc104a9e519a0d05704fc1711e12e68d794a32bb064550fe8f5136cdd34809,3,0.19681919528297653,0.7414504768546056,1.0,False,0.90164,0.91803,0.85747,0.8107204964708289,0.9292743552730823,270,1560,1,2,3
L_f3_W0,primary_full_coverage,soxmp3__sox,BD4,Smax,61,7,9,1f0b371f99c149b47c8b51955a66137c8d49a59bb0ef28616202416307f44132,ac4b6e2a4c8fc91ef065849d2897f5a8b4bd46d4f6d4bf655d267054b8ba51e9,187,0.032591252892062425,0.8673685768703653,1.0,False,0.93443,0.85246,0.86438,0.8238250628258504,0.9292743552730823,270,1560,2,3,3
L_f3_W0,primary_full_coverage,soxmp3__sox,BLD4,S0,61,7,8,e435c32ae4a2869242ca22b4f812b9e313d211f8b550034dc25e52dd8da0fdaa,5faa88b78d37b92ee5464878bc55da4c3953aaf19d0a333f4c7596900b2f167b,39,0.24758874228215177,0.7564464778822393,1.0,False,0.93443,0.86885,0.88239,0.8340476279208437,0.9046366971554547,270,1560,2,3,3
